state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Total Employment,Obama 2,Barack Obama,2013-2017,7.71,1.88,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.21,"TRUMP, DONALD J.",REPUBLICAN,44.92
ALABAMA,Total Employment,Obama 2,Barack Obama,2013-2017,5.0,1.23,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36
ALASKA,Total Employment,Obama 2,Barack Obama,2013-2017,-1.23,-0.31,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55
ARIZONA,Total Employment,Obama 2,Barack Obama,2013-2017,10.97,2.64,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0
ARKANSAS,Total Employment,Obama 2,Barack Obama,2013-2017,4.5,1.11,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65
CALIFORNIA,Total Employment,Obama 2,Barack Obama,2013-2017,10.46,2.52,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62
COLORADO,Total Employment,Obama 2,Barack Obama,2013-2017,12.02,2.88,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25
CONNECTICUT,Total Employment,Obama 2,Barack Obama,2013-2017,2.39,0.59,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93
DELAWARE,Total Employment,Obama 2,Barack Obama,2013-2017,7.34,1.79,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92
DISTRICT OF COLUMBIA,Total Employment,Obama 2,Barack Obama,2013-2017,6.44,1.57,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07
FLORIDA,Total Employment,Obama 2,Barack Obama,2013-2017,14.79,3.51,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82
GEORGIA,Total Employment,Obama 2,Barack Obama,2013-2017,11.48,2.75,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64
HAWAII,Total Employment,Obama 2,Barack Obama,2013-2017,6.1,1.49,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44
IDAHO,Total Employment,Obama 2,Barack Obama,2013-2017,11.61,2.78,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49
ILLINOIS,Total Employment,Obama 2,Barack Obama,2013-2017,4.26,1.05,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76
INDIANA,Total Employment,Obama 2,Barack Obama,2013-2017,5.95,1.46,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77
IOWA,Total Employment,Obama 2,Barack Obama,2013-2017,2.1,0.52,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75
KANSAS,Total Employment,Obama 2,Barack Obama,2013-2017,2.38,0.59,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05
KENTUCKY,Total Employment,Obama 2,Barack Obama,2013-2017,4.67,1.15,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68
