state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real GDP,Obama 2,Barack Obama,2013-2017,10.11,2.44,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.21,"TRUMP, DONALD J.",REPUBLICAN,44.92
ALABAMA,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36
ALASKA,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55
ARIZONA,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0
ARKANSAS,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65
CALIFORNIA,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62
COLORADO,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25
CONNECTICUT,Real GDP,Obama 2,Barack Obama,2013-2017,5.78,1.42,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93
DELAWARE,Real GDP,Obama 2,Barack Obama,2013-2017,1.31,0.46,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92
DISTRICT OF COLUMBIA,Real GDP,Obama 2,Barack Obama,2013-2017,8.22,2.0,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07
FLORIDA,Real GDP,Obama 2,Barack Obama,2013-2017,15.3,3.63,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82
GEORGIA,Real GDP,Obama 2,Barack Obama,2013-2017,16.73,3.94,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64
HAWAII,Real GDP,Obama 2,Barack Obama,2013-2017,8.57,2.08,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44
IDAHO,Real GDP,Obama 2,Barack Obama,2013-2017,12.61,3.02,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49
ILLINOIS,Real GDP,Obama 2,Barack Obama,2013-2017,4.7,1.16,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76
INDIANA,Real GDP,Obama 2,Barack Obama,2013-2017,7.3,1.79,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77
IOWA,Real GDP,Obama 2,Barack Obama,2013-2017,9.39,2.29,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75
KANSAS,Real GDP,Obama 2,Barack Obama,2013-2017,10.33,2.49,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05
KENTUCKY,Real GDP,Obama 2,Barack Obama,2013-2017,3.49,0.86,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68
LOUISIANA,Real GDP,Obama 2,Barack Obama,2013-2017,1.42,0.37,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45
MAINE,Real GDP,Obama 2,Barack Obama,2013-2017,6.76,1.65,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48
MARYLAND,Real GDP,Obama 2,Barack Obama,2013-2017,9.62,2.33,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0
MASSACHUSETTS,Real GDP,Obama 2,Barack Obama,2013-2017,8.86,2.15,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29
