state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.28,2.02,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
ALABAMA,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.68,0.17,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.92,3.15,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Real Personal Income,Obama 1,Barack Obama,2009-2013,10.61,2.56,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.57,1.4,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Real Personal Income,Obama 1,Barack Obama,2009-2013,11.99,2.88,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Real Personal Income,Obama 1,Barack Obama,2009-2013,14.08,3.35,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.75,0.24,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Real Personal Income,Obama 1,Barack Obama,2009-2013,6.85,1.7,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.34,2.99,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.26,1.79,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Real Personal Income,Obama 1,Barack Obama,2009-2013,2.19,0.58,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Real Personal Income,Obama 1,Barack Obama,2009-2013,4.11,1.05,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.02,2.88,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.31,2.02,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
INDIANA,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.66,2.11,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.26,2.04,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
KANSAS,Real Personal Income,Obama 1,Barack Obama,2009-2013,9.31,2.28,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
KENTUCKY,Real Personal Income,Obama 1,Barack Obama,2009-2013,2.73,0.68,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
LOUISIANA,Real Personal Income,Obama 1,Barack Obama,2009-2013,3.41,0.85,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
MAINE,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.68,0.2,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
MARYLAND,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.29,1.33,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
MASSACHUSETTS,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.68,2.11,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
MICHIGAN,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.92,1.94,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
