state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Total Employment,Obama 1,Barack Obama,2009-2013,5.01,1.23,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
ALABAMA,Total Employment,Obama 1,Barack Obama,2009-2013,1.75,0.44,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Total Employment,Obama 1,Barack Obama,2009-2013,4.23,1.04,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Total Employment,Obama 1,Barack Obama,2009-2013,4.42,1.1,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Total Employment,Obama 1,Barack Obama,2009-2013,1.71,0.43,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Total Employment,Obama 1,Barack Obama,2009-2013,7.47,1.83,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Total Employment,Obama 1,Barack Obama,2009-2013,6.09,1.5,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Total Employment,Obama 1,Barack Obama,2009-2013,2.29,0.57,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Total Employment,Obama 1,Barack Obama,2009-2013,3.63,0.9,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Total Employment,Obama 1,Barack Obama,2009-2013,6.57,1.6,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Total Employment,Obama 1,Barack Obama,2009-2013,7.09,1.73,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Total Employment,Obama 1,Barack Obama,2009-2013,4.77,1.18,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Total Employment,Obama 1,Barack Obama,2009-2013,4.62,1.14,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Total Employment,Obama 1,Barack Obama,2009-2013,2.56,0.64,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Total Employment,Obama 1,Barack Obama,2009-2013,2.73,0.68,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
INDIANA,Total Employment,Obama 1,Barack Obama,2009-2013,4.57,1.13,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Total Employment,Obama 1,Barack Obama,2009-2013,3.08,0.76,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
KANSAS,Total Employment,Obama 1,Barack Obama,2009-2013,3.08,0.76,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
