state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real GDP,Trump,Donald Trump,2017-2021,9.6,2.36,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,51.26,"TRUMP, DONALD J.",REPUBLICAN,46.82
ALABAMA,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.03,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.57
ALASKA,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.83,"BIDEN, JOSEPH R. JR",DEMOCRAT,42.77
ARIZONA,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.36,"TRUMP, DONALD J.",REPUBLICAN,49.06
ARKANSAS,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.4,"BIDEN, JOSEPH R. JR",DEMOCRAT,34.78
CALIFORNIA,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.48,"TRUMP, DONALD J.",REPUBLICAN,34.32
COLORADO,Real GDP,Trump,Donald Trump,2017-2021,16.06,3.83,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,55.01,"TRUMP, DONALD J.",REPUBLICAN,41.6
CONNECTICUT,Real GDP,Trump,Donald Trump,2017-2021,-1.47,-0.32,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.26,"TRUMP, DONALD J.",REPUBLICAN,39.19
DELAWARE,Real GDP,Trump,Donald Trump,2017-2021,7.33,1.83,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,58.74,"TRUMP, DONALD J.",REPUBLICAN,39.77
DISTRICT OF COLUMBIA,Real GDP,Trump,Donald Trump,2017-2021,6.58,1.62,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,92.15,"TRUMP, DONALD J.",REPUBLICAN,5.4
FLORIDA,Real GDP,Trump,Donald Trump,2017-2021,15.34,3.7,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,47.86
GEORGIA,Real GDP,Trump,Donald Trump,2017-2021,10.19,2.51,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.47,"TRUMP, DONALD J.",REPUBLICAN,49.24
HAWAII,Real GDP,Trump,Donald Trump,2017-2021,-3.46,-0.7,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.15,"TRUMP, DONALD J.",REPUBLICAN,33.95
IDAHO,Real GDP,Trump,Donald Trump,2017-2021,21.98,5.12,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,63.84,"BIDEN, JOSEPH R. JR",DEMOCRAT,33.07
ILLINOIS,Real GDP,Trump,Donald Trump,2017-2021,2.77,0.77,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.54,"TRUMP, DONALD J.",REPUBLICAN,40.55
INDIANA,Real GDP,Trump,Donald Trump,2017-2021,8.28,2.08,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.02,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.96
IOWA,Real GDP,Trump,Donald Trump,2017-2021,7.49,1.89,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,44.65
KANSAS,Real GDP,Trump,Donald Trump,2017-2021,3.91,0.98,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.21,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.56
KENTUCKY,Real GDP,Trump,Donald Trump,2017-2021,5.68,1.43,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.15
LOUISIANA,Real GDP,Trump,Donald Trump,2017-2021,-0.83,-0.12,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.46,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.85
MAINE,Real GDP,Trump,Donald Trump,2017-2021,12.92,3.1,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.53,"TRUMP, DONALD J.",REPUBLICAN,43.55
MARYLAND,Real GDP,Trump,Donald Trump,2017-2021,1.81,0.49,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.36,"TRUMP, DONALD J.",REPUBLICAN,32.15
MASSACHUSETTS,Real GDP,Trump,Donald Trump,2017-2021,12.41,3.0,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.12,"TRUMP, DONALD J.",REPUBLICAN,31.91
MICHIGAN,Real GDP,Trump,Donald Trump,2017-2021,5.0,1.28,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.62,"TRUMP, DONALD J.",REPUBLICAN,47.84
MINNESOTA,Real GDP,Trump,Donald Trump,2017-2021,6.55,1.65,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.4,"TRUMP, DONALD J.",REPUBLICAN,45.28
MISSISSIPPI,Real GDP,Trump,Donald Trump,2017-2021,4.89,1.22,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.6,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.06
MISSOURI,Real GDP,Trump,Donald Trump,2017-2021,6.52,1.62,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.41
MONTANA,Real GDP,Trump,Donald Trump,2017-2021,9.97,2.44,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.92,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.55
NEBRASKA,Real GDP,Trump,Donald Trump,2017-2021,9.51,2.33,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.17
NEVADA,Real GDP,Trump,Donald Trump,2017-2021,11.81,2.98,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.06,"TRUMP, DONALD J.",REPUBLICAN,47.67
NEW HAMPSHIRE,Real GDP,Trump,Donald Trump,2017-2021,10.8,2.66,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.71,"TRUMP, DONALD J.",REPUBLICAN,45.36
NEW JERSEY,Real GDP,Trump,Donald Trump,2017-2021,7.18,1.81,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.33,"TRUMP, DONALD J.",REPUBLICAN,41.4
NEW MEXICO,Real GDP,Trump,Donald Trump,2017-2021,8.27,2.05,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.29,"TRUMP, DONALD J.",REPUBLICAN,43.5
NEW YORK,Real GDP,Trump,Donald Trump,2017-2021,6.86,1.71,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,60.39,"TRUMP, DONALD J.",REPUBLICAN,37.46
NORTH CAROLINA,Real GDP,Trump,Donald Trump,2017-2021,9.77,2.39,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.93,"BIDEN, JOSEPH R. JR",DEMOCRAT,48.59
NORTH DAKOTA,Real GDP,Trump,Donald Trump,2017-2021,-0.2,0.02,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.11,"BIDEN, JOSEPH R. JR",DEMOCRAT,31.76
OHIO,Real GDP,Trump,Donald Trump,2017-2021,5.87,1.48,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,53.27,"BIDEN, JOSEPH R. JR",DEMOCRAT,45.24
OKLAHOMA,Real GDP,Trump,Donald Trump,2017-2021,0.83,0.24,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.37,"BIDEN, JOSEPH R. JR",DEMOCRAT,32.29
OREGON,Real GDP,Trump,Donald Trump,2017-2021,10.99,2.67,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,56.45,"TRUMP, DONALD J.",REPUBLICAN,40.37
PENNSYLVANIA,Real GDP,Trump,Donald Trump,2017-2021,1.48,0.42,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.01,"TRUMP, DONALD J.",REPUBLICAN,48.84
RHODE ISLAND,Real GDP,Trump,Donald Trump,2017-2021,3.46,0.89,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.48,"TRUMP, DONALD J.",REPUBLICAN,38.67
SOUTH CAROLINA,Real GDP,Trump,Donald Trump,2017-2021,9.25,2.27,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,55.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,43.42
SOUTH DAKOTA,Real GDP,Trump,Donald Trump,2017-2021,7.56,1.86,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.77,"BIDEN, JOSEPH R. JR",DEMOCRAT,35.61
TENNESSEE,Real GDP,Trump,Donald Trump,2017-2021,12.61,3.07,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.66,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.45
TEXAS,Real GDP,Trump,Donald Trump,2017-2021,12.7,3.08,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.06,"BIDEN, JOSEPH R. JR",DEMOCRAT,46.48
UTAH,Real GDP,Trump,Donald Trump,2017-2021,22.3,5.19,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.13,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.65
VERMONT,Real GDP,Trump,Donald Trump,2017-2021,3.48,0.9,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.46,"TRUMP, DONALD J.",REPUBLICAN,30.38
VIRGINIA,Real GDP,Trump,Donald Trump,2017-2021,9.76,2.39,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.11,"TRUMP, DONALD J.",REPUBLICAN,44.0
WASHINGTON,Real GDP,Trump,Donald Trump,2017-2021,19.52,4.59,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.97,"TRUMP, DONALD J.",REPUBLICAN,38.77
WEST VIRGINIA,Real GDP,Trump,Donald Trump,2017-2021,0.79,0.23,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"BIDEN, JOSEPH R. JR",DEMOCRAT,29.7
WISCONSIN,Real GDP,Trump,Donald Trump,2017-2021,3.92,1.0,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.45,"TRUMP, DONALD J.",REPUBLICAN,48.82
WYOMING,Real GDP,Trump,Donald Trump,2017-2021,-1.3,-0.26,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,69.5,"BIDEN, JOSEPH R. JR",DEMOCRAT,26.39
